wrestler,opponent,wrestler_key,wrestler_score,opponent_key,opponent_score,_round,overtime,fall_time,result,winner,wrestler_seed,wrestler_school,opponent_seed,opponent_school,weight,opponent_weight,year,check,0
John Rippley,Tom Marchetti,John Rippley,-2,Tom Marchetti,-1,r16,1,7:37,F,Tom Marchetti,5,Army,,Bucknell,167,167,1989,0,
Jason Morris,Dave Lee,Jason Morris,2,Dave Lee,6,r16,,,DEC,Dave Lee,,Syracuse,1,Wisconsin,167,167,1989,0,
Chris Geneser,Mike Amine,Chris Geneser,12,Mike Amine,13,r16,,,DEC,Mike Amine,,Notre Dame,9,Michigan,167,167,1989,0,
Marty Morgan,Brad Traviolia,Marty Morgan,6,Brad Traviolia,10,r16,,,DEC,Brad Traviolia,7,Minnesota,10,Northwestern,167,167,1989,0,
Mike Maxam,Mike Farrell,Mike Maxam,-2,Mike Farrell,-1,r16,,4:38,F,Mike Farrell,,Appalachian State,2,Oklahoma State,167,167,1989,0,
Baron Blakley,Eric Messner,Baron Blakley,6,Eric Messner,2,r16,1,,DEC,Baron Blakley,6,Oklahoma,11,Oregon,167,167,1989,0,
John Heffernan,Ted Price,John Heffernan,6,Ted Price,5,r16,1,,DEC,John Heffernan,3,Iowa,,Wisconsin-Parkland,167,167,1989,0,
Rob Milavsky,Tom Marchetti,Rob Milavsky,5,Tom Marchetti,11,r8,,,DEC,Tom Marchetti,,James Madison,,Bucknell,167,167,1989,0,
Dave Lee,Mike Amine,Dave Lee,9,Mike Amine,6,r8,,,DEC,Dave Lee,1,Wisconsin,9,Michigan,167,167,1989,0,
Brad Traviolia,Mike Farrell,Brad Traviolia,4,Mike Farrell,11,r8,,,DEC,Mike Farrell,10,Northwestern,2,Oklahoma State,167,167,1989,0,
Baron Blakley,John Heffernan,Baron Blakley,8,John Heffernan,1,r8,,,DEC,Baron Blakley,6,Oklahoma,3,Iowa,167,167,1989,0,
Tom Marchetti,Dave Lee,Tom Marchetti,0,Dave Lee,9,r4,,,MD,Dave Lee,,Bucknell,1,Wisconsin,167,167,1989,0,
Mike Farrell,Baron Blakley,Mike Farrell,4,Baron Blakley,5,r4,,,DEC,Baron Blakley,2,Oklahoma State,6,Oklahoma,167,167,1989,0,
Dave Lee,Baron Blakley,Dave Lee,14,Baron Blakley,6,m1,,,MD,Dave Lee,1,Wisconsin,6,Oklahoma,167,167,1989,0,
John Kohls,Scott Chenoweth,John Kohls,1,Scott Chenoweth,2,c1,,,DEC,Scott Chenoweth,4,Brigham Young,,Nebraska,167,167,1989,0,
Jeff Harris,John Rippley,Jeff Harris,1,John Rippley,8,c1,,,DEC,John Rippley,12,Southwest Missouri,5,Army,167,167,1989,0,
Randy Worrell,Jason Morris,Randy Worrell,-3,Jason Morris,-4,c1,,,DFT,Randy Worrell,,Delaware Valley,,Syracuse,167,167,1989,0,
Steve Blanner,Chris Geneser,Steve Blanner,2,Chris Geneser,7,c1,,,DEC,Chris Geneser,,Missouri,,Notre Dame,167,167,1989,0,
Solomon Fleckman,Marty Morgan,Solomon Fleckman,4,Marty Morgan,9,c1,,,DEC,Marty Morgan,,Lehigh,7,Minnesota,167,167,1989,0,
Mark Voloshin,Mike Maxam,Mark Voloshin,-2,Mike Maxam,-1,c1,,4:15,F,Mike Maxam,,Wyoming,,Appalachian State,167,167,1989,0,
Rikk Walters,Eric Messner,Rikk Walters,4,Eric Messner,2,c1,,,DEC,Rikk Walters,,Edinboro,11,Oregon,167,167,1989,0,
Dan Niebuhr,Ted Price,Dan Niebuhr,10,Ted Price,2,c1,,,MD,Dan Niebuhr,,Fresno State,,Wisconsin-Parkland,167,167,1989,0,
Scott Chenoweth,John Rippley,Scott Chenoweth,15,John Rippley,9,c2,1,,DEC,Scott Chenoweth,,Nebraska,5,Army,167,167,1989,0,
Jason Morris,Chris Geneser,Jason Morris,17,Chris Geneser,3,c2,,,MD,Jason Morris,,Syracuse,,Notre Dame,167,167,1989,0,
Marty Morgan,Mike Maxam,Marty Morgan,15,Mike Maxam,5,c2,,,MD,Marty Morgan,7,Minnesota,,Appalachian State,167,167,1989,0,
Rikk Walters,Dan Niebuhr,Rikk Walters,2,Dan Niebuhr,13,c2,,,MD,Dan Niebuhr,,Edinboro,,Fresno State,167,167,1989,0,
Scott Chenoweth,John Heffernan,Scott Chenoweth,6,John Heffernan,4,br,,,DEC,Scott Chenoweth,,Nebraska,3,Iowa,167,167,1989,0,
Jason Morris,Brad Traviolia,Jason Morris,7,Brad Traviolia,6,br,,,DEC,Jason Morris,,Syracuse,10,Northwestern,167,167,1989,0,
Marty Morgan,Mike Amine,Marty Morgan,13,Mike Amine,5,br,,,MD,Marty Morgan,7,Minnesota,9,Michigan,167,167,1989,0,
Dan Niebuhr,Rob Milavsky,Dan Niebuhr,12,Rob Milavsky,3,br,,,MD,Dan Niebuhr,,Fresno State,,James Madison,167,167,1989,0,
Scott Chenoweth,Jason Morris,Scott Chenoweth,2,Jason Morris,7,c4,,,DEC,Jason Morris,,Nebraska,,Syracuse,167,167,1989,0,
Marty Morgan,Dan Niebuhr,Marty Morgan,8,Dan Niebuhr,5,c4,1,,DEC,Marty Morgan,7,Minnesota,,Fresno State,167,167,1989,0,
Jason Morris,Tom Marchetti,Jason Morris,-2,Tom Marchetti,-1,cs,,3:58,F,Tom Marchetti,,Syracuse,,Bucknell,167,167,1989,0,
Marty Morgan,Mike Farrell,Marty Morgan,0,Mike Farrell,2,cs,,,DEC,Mike Farrell,7,Minnesota,2,Oklahoma State,167,167,1989,0,
Mike Farrell,Tom Marchetti,Mike Farrell,12,Tom Marchetti,3,m3,,,MD,Mike Farrell,2,Oklahoma State,,Bucknell,167,167,1989,0,
Jason Morris,Marty Morgan,Jason Morris,8,Marty Morgan,3,m5,,,DEC,Jason Morris,,Syracuse,7,Minnesota,167,167,1989,0,
Dan Niebuhr,Scott Chenoweth,Dan Niebuhr,6,Scott Chenoweth,2,m7,,,DEC,Dan Niebuhr,,Fresno State,,Nebraska,167,167,1989,0,
Mark Voloshin,Dave Yahner,Mark Voloshin,8,Dave Yahner,4,p1,,,DEC,Mark Voloshin,,Wyoming,,Pittsburgh-Johnstown,167,167,1989,0,
John Kohls,Chuck Poulsen,John Kohls,6,Chuck Poulsen,0,p1,,,DEC,John Kohls,4,Brigham Young,,Indiana,167,167,1989,0,
John Heffernan,Dan Niebuhr,John Heffernan,7,Dan Niebuhr,6,p1,,,DEC,John Heffernan,3,Iowa,,Fresno State,167,167,1989,0,
G.T. Taylor,Frank McKeon,G.T. Taylor,5,Frank McKeon,3,p1,,,DEC,G.T. Taylor,,Arizona State,,Cleveland State,167,167,1989,0,
Tom Marchetti,Jeff Ansted,Tom Marchetti,-1,Jeff Ansted,-2,p1,,1:52,F,Tom Marchetti,,Bucknell,,Toledo,167,167,1989,0,
Rikk Walters,Steve Yarbrough,Rikk Walters,2,Steve Yarbrough,1,p1,,,DEC,Rikk Walters,,Edinboro,,Stanford,167,167,1989,0,
Jason Morris,Bob Thompson,Jason Morris,4,Bob Thompson,2,p1,,,DEC,Jason Morris,,Syracuse,,Iowa State,167,167,1989,0,
Brad Traviolia,Solomon Fleckman,Brad Traviolia,4,Solomon Fleckman,1,p1,,,DEC,Brad Traviolia,10,Northwestern,,Lehigh,167,167,1989,0,
Dan Niebuhr,Todd Kendle,Dan Niebuhr,10,Todd Kendle,3,cp1,,,DEC,Dan Niebuhr,,Fresno State,,Augustana SD,167,167,1989,0,
Jeff Harris,Jeff Ansted,Jeff Harris,11,Jeff Ansted,7,cp1,,,DEC,Jeff Harris,12,Southwest Missouri,,Toledo,167,167,1989,0,
Solomon Fleckman,Eric Unger,Solomon Fleckman,7,Eric Unger,5,cp1,,,DEC,Solomon Fleckman,,Lehigh,,Slippery Rock,167,167,1989,0,
Rob Larmore,Curt Strahm,Rob Larmore,7,Curt Strahm,1,r32,,,DEC,Rob Larmore,,William & Mary,12,Oregon,177,177,1989,0,
Joe Wypiszenski,Mike McHenry,Joe Wypiszenski,3,Mike McHenry,8,r32,,,DEC,Mike McHenry,,Nebraska-Omaha,5,Purdue,177,177,1989,0,
Derek Capanna,Marty Molina,Derek Capanna,11,Marty Molina,5,r32,,,DEC,Derek Capanna,4,Virginia,,Eastern Illinois,177,177,1989,0,
Lance Markel,Steve Medina,Lance Markel,15,Steve Medina,2,r32,,,MD,Lance Markel,,Pittsburgh,,New Mexico,177,177,1989,0,
Mike Gibbons,Tracy Niles,Mike Gibbons,-1,Tracy Niles,-2,r32,,4:26,F,Mike Gibbons,9,Central Connecticut,,Eastern Washington,177,177,1989,0,
Steve Hasenfus,Steve Buddie,Steve Hasenfus,-1,Steve Buddie,-2,r32,,6:11,F,Steve Hasenfus,8,Columbia,,Stanford,177,177,1989,0,
Frank Zelinsky,Jeff Giovino,Frank Zelinsky,-1,Jeff Giovino,-2,r32,,1:38,F,Frank Zelinsky,,Edinboro,,Maryland,177,177,1989,0,
Matt Mynster,Brad Lloyd,Matt Mynster,1,Brad Lloyd,16,r32,,7:00,TF,Brad Lloyd,,Ohio State,1,Lock Haven,177,177,1989,0,
Mike Funk,Dominick Black,Mike Funk,6,Dominick Black,3,r32,,,DEC,Mike Funk,7,Northwestern,,West Virginia,177,177,1989,0,
Junior Meek,Rob Redfoot,Junior Meek,-1,Rob Redfoot,-2,r32,,2:41,F,Junior Meek,10,Oklahoma,,Bucknell,177,177,1989,0,
Chris Barnes,Kevin Vogel,Chris Barnes,19,Kevin Vogel,4,r32,,7:00,TF,Chris Barnes,2,Oklahoma State,,Central Michigan,177,177,1989,0,
Paul Green,Jim Nelson,Paul Green,11,Jim Nelson,5,r32,,,DEC,Paul Green,,Morgan State,,Iowa State,177,177,1989,0,
Larry Kaifesh,Jim Gressley,Larry Kaifesh,2,Jim Gressley,5,r32,,,DEC,Jim Gressley,,Indiana,6,Arizona State,177,177,1989,0,
Rich Powers,Kevin Higgins,Rich Powers,15,Kevin Higgins,0,r32,,4:44,TF,Rich Powers,11,Northern Iowa,,Baldwin Wallace,177,177,1989,0,
Steve Cantrell,Cody Olson,Steve Cantrell,4,Cody Olson,6,r32,,,DEC,Cody Olson,,Navy,,Nebraska,177,177,1989,0,
Dave Dean,Ben Oberly,Dave Dean,12,Ben Oberly,3,r32,,,MD,Dave Dean,3,Minnesota,,North Carolina,177,177,1989,0,
Rob Larmore,Mike McHenry,Rob Larmore,3,Mike McHenry,15,r16,,,MD,Mike McHenry,,William & Mary,5,Purdue,177,177,1989,0,
Derek Capanna,Lance Markel,Derek Capanna,6,Lance Markel,2,r16,,,DEC,Derek Capanna,4,Virginia,,Pittsburgh,177,177,1989,0,
Mike Gibbons,Steve Hasenfus,Mike Gibbons,1,Steve Hasenfus,10,r16,,,MD,Steve Hasenfus,9,Central Connecticut,8,Columbia,177,177,1989,0,
Frank Zelinsky,Brad Lloyd,Frank Zelinsky,0,Brad Lloyd,15,r16,,4:11,TF,Brad Lloyd,,Edinboro,1,Lock Haven,177,177,1989,0,
Mike Funk,Junior Meek,Mike Funk,2,Junior Meek,3,r16,,,DEC,Junior Meek,7,Northwestern,10,Oklahoma,177,177,1989,0,
Chris Barnes,Paul Green,Chris Barnes,4,Paul Green,1,r16,,,DEC,Chris Barnes,2,Oklahoma State,,Morgan State,177,177,1989,0,
Jim Gressley,Rich Powers,Jim Gressley,12,Rich Powers,11,r16,,,DEC,Jim Gressley,6,Arizona State,11,Northern Iowa,177,177,1989,0,
Cody Olson,Dave Dean,Cody Olson,8,Dave Dean,23,r16,,6:03,TF,Dave Dean,,Nebraska,3,Minnesota,177,177,1989,0,
Mike McHenry,Derek Capanna,Mike McHenry,5,Derek Capanna,8,r8,,,DEC,Derek Capanna,5,Purdue,4,Virginia,177,177,1989,0,
Steve Hasenfus,Brad Lloyd,Steve Hasenfus,2,Brad Lloyd,10,r8,,,MD,Brad Lloyd,8,Columbia,1,Lock Haven,177,177,1989,0,
Junior Meek,Chris Barnes,Junior Meek,1,Chris Barnes,12,r8,,,MD,Chris Barnes,10,Oklahoma,2,Oklahoma State,177,177,1989,0,
Jim Gressley,Dave Dean,Jim Gressley,6,Dave Dean,11,r8,,,DEC,Dave Dean,6,Arizona State,3,Minnesota,177,177,1989,0,
Derek Capanna,Brad Lloyd,Derek Capanna,2,Brad Lloyd,10,r4,,,MD,Brad Lloyd,4,Virginia,1,Lock Haven,177,177,1989,0,
Chris Barnes,Dave Dean,Chris Barnes,3,Dave Dean,1,r4,,,DEC,Chris Barnes,2,Oklahoma State,3,Minnesota,177,177,1989,0,
Brad Lloyd,Chris Barnes,Brad Lloyd,2,Chris Barnes,3,m1,1,,DEC,Chris Barnes,1,Lock Haven,2,Oklahoma State,177,177,1989,0,
Joe Wypiszenski,Rob Larmore,Joe Wypiszenski,12,Rob Larmore,2,c1,,,MD,Joe Wypiszenski,,Nebraska-Omaha,,William & Mary,177,177,1989,0,
Marty Molina,Lance Markel,Marty Molina,9,Lance Markel,2,c1,,,DEC,Marty Molina,,Eastern Illinois,,Pittsburgh,177,177,1989,0,
Steve Buddie,Mike Gibbons,Steve Buddie,10,Mike Gibbons,5,c1,,,DEC,Steve Buddie,,Stanford,9,Central Connecticut,177,177,1989,0,
Matt Mynster,Frank Zelinsky,Matt Mynster,4,Frank Zelinsky,15,c1,,,MD,Frank Zelinsky,,Ohio State,,Edinboro,177,177,1989,0,
Rob Redfoot,Mike Funk,Rob Redfoot,0,Mike Funk,4,c1,,,DEC,Mike Funk,,Bucknell,7,Northwestern,177,177,1989,0,
Kevin Vogel,Paul Green,Kevin Vogel,7,Paul Green,15,c1,,,MD,Paul Green,,Central Michigan,,Morgan State,177,177,1989,0,
Larry Kaifesh,Rich Powers,Larry Kaifesh,11,Rich Powers,8,c1,,,DEC,Larry Kaifesh,,Indiana,11,Northern Iowa,177,177,1989,0,
Ben Oberly,Cody Olson,Ben Oberly,-2,Cody Olson,-1,c1,,5:46,F,Cody Olson,,North Carolina,,Nebraska,177,177,1989,0,
Joe Wypiszenski,Marty Molina,Joe Wypiszenski,2,Marty Molina,9,c2,,,DEC,Marty Molina,,Nebraska-Omaha,,Eastern Illinois,177,177,1989,0,
Steve Buddie,Frank Zelinsky,Steve Buddie,4,Frank Zelinsky,10,c2,,,DEC,Frank Zelinsky,,Stanford,,Edinboro,177,177,1989,0,
Mike Funk,Paul Green,Mike Funk,4,Paul Green,1,c2,1,,DEC,Mike Funk,7,Northwestern,,Morgan State,177,177,1989,0,
Larry Kaifesh,Cody Olson,Larry Kaifesh,15,Cody Olson,4,c2,,,MD,Larry Kaifesh,,Indiana,,Nebraska,177,177,1989,0,
Marty Molina,Jim Gressley,Marty Molina,3,Jim Gressley,2,br,,,DEC,Marty Molina,,Eastern Illinois,6,Arizona State,177,177,1989,0,
Frank Zelinsky,Junior Meek,Frank Zelinsky,6,Junior Meek,5,br,,,DEC,Frank Zelinsky,,Edinboro,10,Oklahoma,177,177,1989,0,
Mike Funk,Steve Hasenfus,Mike Funk,9,Steve Hasenfus,2,br,,,DEC,Mike Funk,7,Northwestern,8,Columbia,177,177,1989,0,
Larry Kaifesh,Mike McHenry,Larry Kaifesh,4,Mike McHenry,3,br,,,DEC,Larry Kaifesh,,Indiana,5,Purdue,177,177,1989,0,
Marty Molina,Frank Zelinsky,Marty Molina,10,Frank Zelinsky,2,c4,,,MD,Marty Molina,,Eastern Illinois,,Edinboro,177,177,1989,0,
Mike Funk,Mike McHenry,Mike Funk,9,Mike McHenry,4,c4,,,DEC,Mike Funk,7,Northwestern,5,Purdue,177,177,1989,0,
Marty Molina,Derek Capanna,Marty Molina,4,Derek Capanna,7,cs,,,DEC,Derek Capanna,,Eastern Illinois,4,Virginia,177,177,1989,0,
Mike Funk,Dave Dean,Mike Funk,7,Dave Dean,18,cs,,,MD,Dave Dean,7,Northwestern,3,Minnesota,177,177,1989,0,
Dave Dean,Derek Capanna,Dave Dean,15,Derek Capanna,5,m3,,,MD,Dave Dean,3,Minnesota,4,Virginia,177,177,1989,0,
Mike Funk,Marty Molina,Mike Funk,6,Marty Molina,3,m5,,,DEC,Mike Funk,7,Northwestern,,Eastern Illinois,177,177,1989,0,
Mike McHenry,Frank Zelinsky,Mike McHenry,12,Frank Zelinsky,4,m7,,,MD,Mike McHenry,5,Purdue,,Edinboro,177,177,1989,0,
Lance Markel,Erick Ames,Lance Markel,13,Erick Ames,0,p1,,,MD,Lance Markel,,Pittsburgh,,Virginia Military,177,177,1989,0,
Frank Zelinsky,Corey Veach,Frank Zelinsky,6,Corey Veach,3,p1,,,DEC,Frank Zelinsky,,Edinboro,,Brigham Young,177,177,1989,0,
Junior Meek,Kirk Volm,Junior Meek,3,Kirk Volm,0,p1,,,DEC,Junior Meek,10,Oklahoma,,George Mason,177,177,1989,0,
Rob Redfoot,Kirk Volm,Rob Redfoot,11,Kirk Volm,7,cp1,,,DEC,Rob Redfoot,,Bucknell,,George Mason,177,177,1989,0,
Brian Hagen,John Ginther,Brian Hagen,3,John Ginther,5,r32,,,DEC,John Ginther,,Wyoming,4,Arizona State,190,190,1989,0,
Jeff Spinetti,Fred King,Jeff Spinetti,9,Fred King,4,r32,,,DEC,Jeff Spinetti,,West Virginia,,Oregon State,190,190,1989,0,
Chris Short,Andy Voit,Chris Short,-1,Andy Voit,-2,r32,,6:30,F,Chris Short,,Minnesota,5,Penn State,190,190,1989,0,
Fritz Lehrke,Doug Downs,Fritz Lehrke,3,Doug Downs,1,r32,,,DEC,Fritz Lehrke,,Michigan,,Northern Iowa,190,190,1989,0,
Matt Ruppel,Anton Kossakowski,Matt Ruppel,13,Anton Kossakowski,7,r32,,,DEC,Matt Ruppel,9,Lehigh,,Northern Illinois,190,190,1989,0,
Doug Chapman,Paul Keysaw,Doug Chapman,6,Paul Keysaw,4,r32,,,DEC,Doug Chapman,,Ferris State,,Bloomsburg,190,190,1989,0,
Eric Voelker,Todd Seiler,Eric Voelker,10,Todd Seiler,7,r32,,,DEC,Eric Voelker,1,Iowa State,,Wisconsin,190,190,1989,0,
Matt Gallagher,Mark Whitehead,Matt Gallagher,5,Mark Whitehead,13,r32,,,MD,Mark Whitehead,,Wagner,2,Northwestern,190,190,1989,0,
Nate Toedter,Cordon Cooper,Nate Toedter,23,Cordon Cooper,7,r32,,6:47,TF,Nate Toedter,,St. Cloud State,,Millersville,190,190,1989,0,
Mark Willis,Brad Weber,Mark Willis,7,Brad Weber,5,r32,,,DEC,Mark Willis,,Brigham Young,12,Duke,190,190,1989,0,
Charlie Buckshaw,Dave Benes,Charlie Buckshaw,12,Dave Benes,5,r32,,,DEC,Charlie Buckshaw,,Tennessee-Chattanooga,,Ohio University,190,190,1989,0,
Joe Stafford,Hamilton Munnell,Joe Stafford,7,Hamilton Munnell,2,r32,,,DEC,Joe Stafford,3,Oklahoma,,Miami Ohio,190,190,1989,0,
Gary Horner,Bryan Burns,Gary Horner,14,Bryan Burns,5,r32,,,MD,Gary Horner,,Clarion,,Bucknell,190,190,1989,0,
Brooks Simpson,Mickey Cheff,Brooks Simpson,13,Mickey Cheff,8,r32,,,DEC,Brooks Simpson,11,Iowa,,Utah State,190,190,1989,0,
Ken Hackman,Randy Couture,Ken Hackman,1,Randy Couture,2,r32,,,DEC,Randy Couture,6,California PA,,Oklahoma State,190,190,1989,0,
John Ginther,Jeff Spinetti,John Ginther,9,Jeff Spinetti,0,r16,,,MD,John Ginther,4,Arizona State,,West Virginia,190,190,1989,0,
Chris Short,Fritz Lehrke,Chris Short,7,Fritz Lehrke,2,r16,,,DEC,Chris Short,,Minnesota,,Michigan,190,190,1989,0,
Matt Ruppel,Kurt Rosenberger,Matt Ruppel,5,Kurt Rosenberger,0,r16,,,DEC,Matt Ruppel,9,Lehigh,,Clemson,190,190,1989,0,
Doug Chapman,Eric Voelker,Doug Chapman,4,Eric Voelker,10,r16,,,DEC,Eric Voelker,,Ferris State,1,Iowa State,190,190,1989,0,
Mark Whitehead,Nate Toedter,Mark Whitehead,12,Nate Toedter,8,r16,,,DEC,Mark Whitehead,2,Northwestern,,St. Cloud State,190,190,1989,0,
Mark Willis,Charlie Buckshaw,Mark Willis,5,Charlie Buckshaw,11,r16,,,DEC,Charlie Buckshaw,,Brigham Young,,Tennessee-Chattanooga,190,190,1989,0,
Joe Stafford,Gary Horner,Joe Stafford,-2,Gary Horner,-1,r16,,6:19,F,Gary Horner,3,Oklahoma,,Clarion,190,190,1989,0,
Brooks Simpson,Randy Couture,Brooks Simpson,7,Randy Couture,6,r16,,,DEC,Brooks Simpson,11,Iowa,,Oklahoma State,190,190,1989,0,
John Ginther,Chris Short,John Ginther,7,Chris Short,4,r8,,,DEC,John Ginther,4,Arizona State,,Minnesota,190,190,1989,0,
Matt Ruppel,Eric Voelker,Matt Ruppel,5,Eric Voelker,6,r8,1,,DEC,Eric Voelker,9,Lehigh,1,Iowa State,190,190,1989,0,
Mark Whitehead,Charlie Buckshaw,Mark Whitehead,-3,Charlie Buckshaw,-4,r8,,,DFT,Mark Whitehead,2,Northwestern,,Tennessee-Chattanooga,190,190,1989,0,
Gary Horner,Brooks Simpson,Gary Horner,14,Brooks Simpson,8,r8,,,DEC,Gary Horner,,Clarion,11,Iowa,190,190,1989,0,
John Ginther,Eric Voelker,John Ginther,4,Eric Voelker,9,r4,1,,DEC,Eric Voelker,4,Arizona State,1,Iowa State,190,190,1989,0,
Mark Whitehead,Gary Horner,Mark Whitehead,9,Gary Horner,7,r4,,,DEC,Mark Whitehead,2,Northwestern,,Clarion,190,190,1989,0,
Eric Voelker,Gary Horner,Eric Voelker,7,Gary Horner,2,m1,,,DEC,Eric Voelker,1,Iowa State,,Clarion,190,190,1989,0,
Brian Hagen,Jeff Spinetti,Brian Hagen,4,Jeff Spinetti,6,c1,,,DEC,Jeff Spinetti,,Wyoming,,West Virginia,190,190,1989,0,
Andy Voit,Fritz Lehrke,Andy Voit,3,Fritz Lehrke,2,c1,,,DEC,Andy Voit,5,Penn State,,Michigan,190,190,1989,0,
Anton Kossakowski,Kurt Rosenberger,Anton Kossakowski,19,Kurt Rosenberger,7,c1,,,MD,Anton Kossakowski,,Northern Illinois,,Clemson,190,190,1989,0,
Todd Seiler,Doug Chapman,Todd Seiler,7,Doug Chapman,4,c1,,,DEC,Todd Seiler,,Wisconsin,,Ferris State,190,190,1989,0,
Matt Gallagher,Nate Toedter,Matt Gallagher,2,Nate Toedter,7,c1,,,DEC,Nate Toedter,,Wagner,,St. Cloud State,190,190,1989,0,
Dave Benes,Mark Willis,Dave Benes,5,Mark Willis,7,c1,,,DEC,Mark Willis,,Ohio University,,Brigham Young,190,190,1989,0,
Bryan Burns,Joe Stafford,Bryan Burns,1,Joe Stafford,3,c1,,,DEC,Joe Stafford,,Bucknell,3,Oklahoma,190,190,1989,0,
Mickey Cheff,Randy Couture,Mickey Cheff,9,Randy Couture,4,c1,,,DEC,Mickey Cheff,,Utah State,,Oklahoma State,190,190,1989,0,
Jeff Spinetti,Andy Voit,Jeff Spinetti,4,Andy Voit,9,c2,1,,DEC,Andy Voit,,West Virginia,5,Penn State,190,190,1989,0,
Anton Kossakowski,Todd Seiler,Anton Kossakowski,8,Todd Seiler,9,c2,,,DEC,Todd Seiler,,Northern Illinois,,Wisconsin,190,190,1989,0,
Nate Toedter,Mark Willis,Nate Toedter,8,Mark Willis,4,c2,,,DEC,Nate Toedter,,St. Cloud State,,Brigham Young,190,190,1989,0,
Joe Stafford,Mickey Cheff,Joe Stafford,8,Mickey Cheff,2,c2,,,DEC,Joe Stafford,3,Oklahoma,,Utah State,190,190,1989,0,
Andy Voit,Brooks Simpson,Andy Voit,12,Brooks Simpson,3,br,,,MD,Andy Voit,5,Penn State,11,Iowa,190,190,1989,0,
Todd Seiler,Charlie Buckshaw,Todd Seiler,-3,Charlie Buckshaw,-4,br,,,DFT,Todd Seiler,,Wisconsin,,Tennessee-Chattanooga,190,190,1989,0,
Nate Toedter,Matt Ruppel,Nate Toedter,6,Matt Ruppel,4,br,,,DEC,Nate Toedter,,St. Cloud State,9,Lehigh,190,190,1989,0,
Joe Stafford,Chris Short,Joe Stafford,3,Chris Short,9,br,,,DEC,Chris Short,3,Oklahoma,,Minnesota,190,190,1989,0,
Andy Voit,Todd Seiler,Andy Voit,1,Todd Seiler,2,c4,1,,DEC,Todd Seiler,5,Penn State,,Wisconsin,190,190,1989,0,
Nate Toedter,Chris Short,Nate Toedter,7,Chris Short,10,c4,,,DEC,Chris Short,,St. Cloud State,,Minnesota,190,190,1989,0,
Todd Seiler,John Ginther,Todd Seiler,6,John Ginther,3,cs,,,DEC,Todd Seiler,,Wisconsin,4,Arizona State,190,190,1989,0,
Chris Short,Gary Horner,Chris Short,-1,Gary Horner,-2,cs,,3:14,F,Chris Short,,Minnesota,,Clarion,190,190,1989,0,
Chris Short,Todd Seiler,Chris Short,7,Todd Seiler,5,m3,,,DEC,Chris Short,,Minnesota,,Wisconsin,190,190,1989,0,
John Ginther,Gary Horner,John Ginther,6,Gary Horner,3,m5,,,DEC,John Ginther,4,Arizona State,,Clarion,190,190,1989,0,
Andy Voit,Nate Toedter,Andy Voit,13,Nate Toedter,4,m7,,,MD,Andy Voit,5,Penn State,,St. Cloud State,190,190,1989,0,
Fritz Lehrke,Charlie Sheretz,Fritz Lehrke,7,Charlie Sheretz,4,p1,,,DEC,Fritz Lehrke,,Michigan,,Missouri,190,190,1989,0,
Doug Chapman,Dean Gavin,Doug Chapman,15,Dean Gavin,8,p1,,,DEC,Doug Chapman,,Ferris State,,Wartburg,190,190,1989,0,
Nate Toedter,Dave Raby,Nate Toedter,18,Dave Raby,11,p1,,,DEC,Nate Toedter,,St. Cloud State,,Navy,190,190,1989,0,
Jon Morris,Tom Osendorf,Jon Morris,5,Tom Osendorf,12,r32,,,DEC,Tom Osendorf,,Lehigh,,Cal State-Bakersfield,275,275,1989,0,
Jon Llewellyn,Kevin Marriner,Jon Llewellyn,-1,Kevin Marriner,-2,r32,,1:16,F,Jon Llewellyn,4,Illinois,,Central Connecticut,275,275,1989,0,
John Owens,Kirk Mammen,John Owens,7,Kirk Mammen,13,r32,,,DEC,Kirk Mammen,12,Pittsburgh,,Oklahoma State,275,275,1989,0,
John Matyiko,Scott Ulrich,John Matyiko,6,Scott Ulrich,3,r32,,,DEC,John Matyiko,5,Virginia,,Air Force,275,275,1989,0,
Carlton Haselrig,Mark Snuffin,Carlton Haselrig,-1,Mark Snuffin,-2,r32,,4:22,F,Carlton Haselrig,1,Pittsburgh-Johnstown,,American,275,275,1989,0,
Rob Cole,Frank Jezioro,Rob Cole,14,Frank Jezioro,6,r32,,,MD,Rob Cole,,Syracuse,,West Virginia,275,275,1989,0,
Andy Haman,Jeff Datkuliak,Andy Haman,3,Jeff Datkuliak,1,r32,,,DEC,Andy Haman,9,Iowa,,Kent State,275,275,1989,0,
Greg Haladay,Chris Knutsen,Greg Haladay,-1,Chris Knutsen,-2,r32,,4:21,F,Greg Haladay,8,Penn State,,Iowa State,275,275,1989,0,
Tim Kennedy,Clark Schnepel,Tim Kennedy,2,Clark Schnepel,10,r32,,,MD,Clark Schnepel,,Rider,,Nebraska-Omaha,275,275,1989,0,
Joel Greenlee,Vince Cameron,Joel Greenlee,16,Vince Cameron,1,r32,,,TF,Joel Greenlee,2,Northern Iowa,,Ohio Northern,275,275,1989,0,
Jeff Balcom,Sonny Manley,Jeff Balcom,5,Sonny Manley,2,r32,,,DEC,Jeff Balcom,10,Minnesota,,Nebraska,275,275,1989,0,
Brian Jackson,E.J. Pasteur,Brian Jackson,-1,E.J. Pasteur,-2,r32,,4:33,F,Brian Jackson,7,North Carolina State,,Army,275,275,1989,0,
