wrestler,opponent,wrestler_key,wrestler_score,opponent_key,opponent_score,_round,overtime,fall_time,result,winner,wrestler_seed,wrestler_school,opponent_seed,opponent_school,weight,opponent_weight,year
Dave Malecek,John Curtis,Dave Malecek,5,John Curtis,11,br,,,DEC,John Curtis,8,Northern Iowa,7,George Mason,190,190,1992
Matt Case,Tom Storey,Matt Case,8,Tom Storey,2,br,,,DEC,Matt Case,10,Northwestern,,Navy,190,190,1992
Dan Troupe,Andy Foster,Dan Troupe,2,Andy Foster,3,br,,,DEC,Andy Foster,11,Iowa State,12,Oklahoma,190,190,1992
Chris Nelson,John Curtis,Chris Nelson,11,John Curtis,8,c4,,,DEC,Chris Nelson,5,Nebraska,7,George Mason,190,190,1992
Matt Case,Andy Foster,Matt Case,7,Andy Foster,3,c4,,,DEC,Matt Case,10,Northwestern,12,Oklahoma,190,190,1992
Chris Nelson,Rex Holman,Chris Nelson,4,Rex Holman,11,cs,,,DEC,Rex Holman,5,Nebraska,1,Ohio State,190,190,1992
Matt Case,Travis Fiser,Matt Case,3,Travis Fiser,2,cs,,,DEC,Matt Case,10,Northwestern,3,Iowa,190,190,1992
Rex Holman,Matt Case,Rex Holman,14,Matt Case,2,m3,,,MD,Rex Holman,1,Ohio State,10,Northwestern,190,190,1992
Travis Fiser,Chris Nelson,Travis Fiser,9,Chris Nelson,4,m5,,,DEC,Travis Fiser,3,Iowa,5,Nebraska,190,190,1992
Andy Foster,John Curtis,Andy Foster,5,John Curtis,4,m7,,,DEC,Andy Foster,12,Oklahoma,7,George Mason,190,190,1992
Jon Morris,Chris Maynor,Jon Morris,7,Chris Maynor,2,r32,,,DEC,Jon Morris,,Lehigh,,George Mason,275,275,1992
Tom Osendorf,Kirk Mammen,Tom Osendorf,1,Kirk Mammen,6,r32,,,DEC,Kirk Mammen,,Cal State-Bakersfield,4,Oklahoma State,275,275,1992
Mike Anderson,Adam Green,Mike Anderson,7,Adam Green,0,r32,,,DEC,Mike Anderson,5,Arizona State,,Pennsylvania,275,275,1992
Don Whipp,Rulon Gardner,Don Whipp,6,Rulon Gardner,7,r32,,,DEC,Rulon Gardner,,Michigan State,12,Nebraska,275,275,1992
Larock Benford,Seth Woodill,Larock Benford,7,Seth Woodill,4,r32,,,DEC,Larock Benford,8,Purdue,,Cal Poly-SLO,275,275,1992
Ray Mendoza,Kevin Marriner,Ray Mendoza,-1,Kevin Marriner,-2,r32,,2:59,F,Ray Mendoza,9,Ohio State,,Central Connecticut,275,275,1992
Javier Posa,Josh Feldman,Javier Posa,1,Josh Feldman,4,r32,,,DEC,Josh Feldman,,Oklahoma,,Virginia Tech,275,275,1992
Justin Greenlee,Kurt Angle,Justin Greenlee,5,Kurt Angle,14,r32,,,MD,Kurt Angle,,Northern Iowa,1,Clarion,275,275,1992
John Oostendorp,Larry Walker,John Oostendorp,-1,Larry Walker,-2,r32,,2:26,F,John Oostendorp,7,Iowa,,Lock Haven,275,275,1992
Jeff Scherma,Lorenzo Neal,Jeff Scherma,1,Lorenzo Neal,4,r32,,,DEC,Lorenzo Neal,,Cleveland State,10,Fresno State,275,275,1992
Sylvester Terkay,Chuck Weaver,Sylvester Terkay,-1,Chuck Weaver,-2,r32,,1:44,F,Sylvester Terkay,2,North Carolina State,,Notre Dame,275,275,1992
Jeremy Lay,Darrick Green,Jeremy Lay,-1,Darrick Green,-2,r32,,2:55,F,Jeremy Lay,,Missouri,,Central Michigan,275,275,1992
Dave Bell,Melvin Crosby,Dave Bell,4,Melvin Crosby,12,r32,,,MD,Melvin Crosby,,Boston University,,Appalachian State,275,275,1992
Dan Hicks,Jamie Cutler,Dan Hicks,5,Jamie Cutler,9,r32,,,DEC,Jamie Cutler,,Navy,3,Iowa State,275,275,1992
Perry Miller,Vito Maurici,Perry Miller,6,Vito Maurici,2,r32,,,DEC,Perry Miller,6,Pittsburgh,,Indiana,275,275,1992
Marvin Hicks,Matt Willhite,Marvin Hicks,1,Matt Willhite,5,r32,,,DEC,Matt Willhite,,Delaware State,11,Oregon State,275,275,1992
Jon Morris,Kirk Mammen,Jon Morris,9,Kirk Mammen,7,r16,,,DEC,Jon Morris,,Lehigh,4,Oklahoma State,275,275,1992
Mike Anderson,Rulon Gardner,Mike Anderson,-1,Rulon Gardner,-2,r16,,5:51,F,Mike Anderson,5,Arizona State,12,Nebraska,275,275,1992
Larock Benford,Ray Mendoza,Larock Benford,2,Ray Mendoza,4,r16,,,DEC,Ray Mendoza,8,Purdue,9,Ohio State,275,275,1992
Josh Feldman,Kurt Angle,Josh Feldman,3,Kurt Angle,5,r16,,,DEC,Kurt Angle,,Virginia Tech,1,Clarion,275,275,1992
John Oostendorp,Lorenzo Neal,John Oostendorp,6,Lorenzo Neal,3,r16,,,DEC,John Oostendorp,7,Iowa,10,Fresno State,275,275,1992
Sylvester Terkay,Jeremy Lay,Sylvester Terkay,-1,Jeremy Lay,-2,r16,,1:51,F,Sylvester Terkay,2,North Carolina State,,Missouri,275,275,1992
Melvin Crosby,Jamie Cutler,Melvin Crosby,2,Jamie Cutler,10,r16,,,MD,Jamie Cutler,,Appalachian State,3,Iowa State,275,275,1992
Perry Miller,Matt Willhite,Perry Miller,5,Matt Willhite,1,r16,,,DEC,Perry Miller,6,Pittsburgh,11,Oregon State,275,275,1992
Jon Morris,Mike Anderson,Jon Morris,0,Mike Anderson,4,r8,,,DEC,Mike Anderson,,Lehigh,5,Arizona State,275,275,1992
Ray Mendoza,Kurt Angle,Ray Mendoza,3,Kurt Angle,8,r8,,,DEC,Kurt Angle,9,Ohio State,1,Clarion,275,275,1992
John Oostendorp,Sylvester Terkay,John Oostendorp,-2,Sylvester Terkay,-1,r8,,1:13,F,Sylvester Terkay,7,Iowa,2,North Carolina State,275,275,1992
Jamie Cutler,Perry Miller,Jamie Cutler,13,Perry Miller,4,r8,,,MD,Jamie Cutler,3,Iowa State,6,Pittsburgh,275,275,1992
Mike Anderson,Kurt Angle,Mike Anderson,5,Kurt Angle,6,r4,,,DEC,Kurt Angle,5,Arizona State,1,Clarion,275,275,1992
Sylvester Terkay,Jamie Cutler,Sylvester Terkay,-1,Jamie Cutler,-2,r4,,1:43,F,Sylvester Terkay,2,North Carolina State,3,Iowa State,275,275,1992
Kurt Angle,Sylvester Terkay,Kurt Angle,3,Sylvester Terkay,2,m1,,,DEC,Kurt Angle,1,Clarion,2,North Carolina State,275,275,1992
Chris Maynor,Kirk Mammen,Chris Maynor,3,Kirk Mammen,8,c1,,,DEC,Kirk Mammen,,George Mason,4,Oklahoma State,275,275,1992
Adam Green,Rulon Gardner,Adam Green,0,Rulon Gardner,2,c1,,,DEC,Rulon Gardner,,Pennsylvania,12,Nebraska,275,275,1992
Kevin Marriner,Larock Benford,Kevin Marriner,0,Larock Benford,11,c1,,,MD,Larock Benford,,Central Connecticut,8,Purdue,275,275,1992
Justin Greenlee,Josh Feldman,Justin Greenlee,4,Josh Feldman,6,c1,,,DEC,Josh Feldman,,Northern Iowa,,Virginia Tech,275,275,1992
Larry Walker,Lorenzo Neal,Larry Walker,3,Lorenzo Neal,12,c1,,,MD,Lorenzo Neal,,Lock Haven,10,Fresno State,275,275,1992
Jeremy Lay,Chuck Weaver,Jeremy Lay,0,Chuck Weaver,3,c1,,,DEC,Chuck Weaver,,Missouri,,Notre Dame,275,275,1992
Dan Hicks,Melvin Crosby,Dan Hicks,6,Melvin Crosby,5,c1,,,DEC,Dan Hicks,,Navy,,Appalachian State,275,275,1992
Vito Maurici,Matt Willhite,Vito Maurici,15,Matt Willhite,0,c1,,,TF,Vito Maurici,,Indiana,11,Oregon State,275,275,1992
Kirk Mammen,Rulon Gardner,Kirk Mammen,3,Rulon Gardner,2,c2,,,DEC,Kirk Mammen,4,Oklahoma State,12,Nebraska,275,275,1992
Larock Benford,Josh Feldman,Larock Benford,11,Josh Feldman,0,c2,,,MD,Larock Benford,8,Purdue,,Virginia Tech,275,275,1992
Lorenzo Neal,Chuck Weaver,Lorenzo Neal,6,Chuck Weaver,3,c2,,,DEC,Lorenzo Neal,10,Fresno State,,Notre Dame,275,275,1992
Dan Hicks,Vito Maurici,Dan Hicks,0,Vito Maurici,2,c2,,,DEC,Vito Maurici,,Navy,,Indiana,275,275,1992
Kirk Mammen,Perry Miller,Kirk Mammen,10,Perry Miller,3,br,,,DEC,Kirk Mammen,4,Oklahoma State,6,Pittsburgh,275,275,1992
Larock Benford,John Oostendorp,Larock Benford,10,John Oostendorp,15,br,,,DEC,John Oostendorp,8,Purdue,7,Iowa,275,275,1992
Lorenzo Neal,Ray Mendoza,Lorenzo Neal,11,Ray Mendoza,2,br,,,MD,Lorenzo Neal,10,Fresno State,9,Ohio State,275,275,1992
Vito Maurici,Jon Morris,Vito Maurici,1,Jon Morris,4,br,,,DEC,Jon Morris,,Indiana,,Lehigh,275,275,1992
Kirk Mammen,John Oostendorp,Kirk Mammen,4,John Oostendorp,7,c4,,,DEC,John Oostendorp,4,Oklahoma State,7,Iowa,275,275,1992
Lorenzo Neal,Jon Morris,Lorenzo Neal,1,Jon Morris,2,c4,1,,DEC,Jon Morris,10,Fresno State,,Lehigh,275,275,1992
John Oostendorp,Mike Anderson,John Oostendorp,-2,Mike Anderson,-1,cs,,5:15,F,Mike Anderson,7,Iowa,5,Arizona State,275,275,1992
Jon Morris,Jamie Cutler,Jon Morris,5,Jamie Cutler,7,cs,,,DEC,Jamie Cutler,,Lehigh,3,Iowa State,275,275,1992
Jamie Cutler,Mike Anderson,Jamie Cutler,3,Mike Anderson,2,m3,,,DEC,Jamie Cutler,3,Iowa State,5,Arizona State,275,275,1992
John Oostendorp,Jon Morris,John Oostendorp,11,Jon Morris,1,m5,,,MD,John Oostendorp,7,Iowa,,Lehigh,275,275,1992
Lorenzo Neal,Kirk Mammen,Lorenzo Neal,2,Kirk Mammen,1,m7,,,DEC,Lorenzo Neal,10,Fresno State,4,Oklahoma State,275,275,1992
